state,type,severity,description,mechanism
Tennessee,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"  - TCA § 10-7-503: Public inspection rights and procedures
  - TCA § 10-7-504: Privacy protection and redaction requirements
  - TCA § 8-21-401: Fee provisions for record duplication
  - TCA § 10-7-505: Enforcement and penalties

### Definitions
- **Public Record**: Any document, paper, letter, map, book, photograph, microfilm, magnetic tape, electronic data processing record, or other documentary material
- **Governmental Entity**: All state and local government agencies, departments, and offi"
Tennessee,Vague Request Rejection,HIGH,Agencies can reject requests as too broad or vague,Subjective interpretation allows denial of valid requests
Tennessee,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"**Denied Requests:**
- Written explanation with statutory basis
- Citation to specific exemption provision
- Information about appeal options

### Phase 4: Appeal Process
**Administrative Appeal:**
- **No Formal Process**: TCA does not establish formal administrative appeal
- **Informal Resolution**: Contact agency head or supervisor
- **Local Procedures**: Some agencies have internal appeal processes
- **Political Remedies**: Contact elected officials or oversight bodies
"
Tennessee,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Promptly (vague)
Texas,Clarification Pause,HIGH,Statute allows agencies to pause deadlines by claiming requests are unclear,"- **Start Date**: Day after request is received

### The ""Clarification Pause"" Mechanism ⚠️
**CONFIRMED: This is the primary obstruction tool described by the user**

**How It Works**:
1. Agency receives request within 10-day deadline
2. Agency claims request is ""unclear"" or needs ""clarification""
3. **10-day statutory clock PAUSES indefinitely**
4. Clock does not resume until requester provides ""clarification""
5. No limit on how long pause can last
"
Texas,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"**Timeline**: No fixed deadline for AG opinion
**Effect**: Further extends overall response time
**Fee Impact**: Agencies often wait for AG opinion before proceeding

---

## Fee Structure (VERIFIED 2025)

### Programming Time Charges
- **Hourly Rate**: **$15-40 per hour** (confirmed current range)
- **Basis**: Actual labor costs of staff performing work
- **No Minimum**: Can charge for any amount of programming time"
Texas,Programming Time Charges,MEDIUM,Allows charging for technical work with subjective billing,Can inflate costs by claiming simple requests require programming
Texas,Vague Request Rejection,HIGH,Agencies can reject requests as too broad or vague,Subjective interpretation allows denial of valid requests
Texas,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"
### Attorney General Review Process
**When Required**: If agency claims exemption under Government Code 552
**Timeline**: No fixed deadline for AG opinion
**Effect**: Further extends overall response time
**Fee Impact**: Agencies often wait for AG opinion before proceeding

---

## Fee Structure (VERIFIED 2025)

### Programming Time Charges"
Utah,Clarification Pause,HIGH,Statute allows agencies to pause deadlines by claiming requests are unclear,"- **Injunctive Relief**: Ongoing compliance orders
- **Attorney Fees**: Successful plaintiffs may recover fees
- **Declaratory Judgment**: Clarification of GRAMA obligations

**Strategic Considerations:**
- Exhaust administrative appeals first
- Document pattern of non-compliance
- Preserve evidence of public interest
- Consider class action for systemic violations

### State Oversight
**Utah State Archives and Records Service:**"
Utah,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"  - UCA § 63G-2-201: Classification of records
  - UCA § 63G-2-203: Response timeline requirements
  - UCA § 63G-2-204: Fee provisions

### **CRITICAL ALERT**: 2025 Legislative Developments
- **SB277 (2025)**: ""Government Records Management Amendments"" by Sen. Keith Grover
- **Status**: Proposed amendments to GRAMA focusing on records management procedures
- **Impact**: Potential restrictions on access procedures (full text requires review)
- **Implementation**: Monitor Utah Legislature for fina"
Utah,Programming Time Charges,MEDIUM,Allows charging for technical work with subjective billing,Can inflate costs by claiming simple requests require programming
Utah,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"- Access to public records or copies upon payment
- Specific explanation for any denials or redactions
- Citation to applicable GRAMA exemption
- Information about appeal rights

### Phase 4: Appeal Process
**Administrative Appeal:**
- **Deadline**: No specific deadline in statute
- **Authority**: Government entity head or designee
- **Scope**: Review of denial, fees, adequacy of search
- **Timeline**: No statutory deadline for appeal decision
"
Utah,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Reasonable time (vague)
VERIFICATION,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"- **Constitutional standard**: Cannot unreasonably delay

### **Fee Structure**
- **Actual costs**: Based on fulfillment expenses
- **Reasonable standard**: Cannot be punitive
- **No fixed schedule**: Varies by agency

### **Legal Framework**
- **Established**: Right to public record access
- **Balanced**: Government procedures vs. public access
- **Protected**: Constitutional oversight of agency compliance
"
VERIFICATION,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Reasonable time (vague)
Vermont,Clarification Pause,HIGH,Statute allows agencies to pause deadlines by claiming requests are unclear,"- Limited time for informal resolution due to 2-day deadline
- Immediate escalation to agency head if needed
- Rapid clarification of exemption claims
- Quick negotiation of scope or format

### Phase 5: Judicial Enforcement
**Superior Court Action:**
- **Venue**: Vermont Superior Court
- **Authority**: Court may order compliance with Public Records Act
- **First Amendment Protection**: Recent 2025 rulings support access rights
- **Standard**: Review of agency compliance with 2-day requirement
"
Vermont,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"  - 1 V.S.A. § 315: Definitions and legislative intent
  - 1 V.S.A. § 316: Public access rights and timelines
  - 1 V.S.A. § 317: Fee provisions
  - 1 V.S.A. § 318: Exemptions from disclosure

### **VERIFIED 2025 TIMELINE**
- **2-Business-Day Response**: Confirmed as shortest mandatory timeline in United States
- **Court Reinforcement**: 2025 First Amendment access rulings support timely disclosure
- **No Extensions**: Statute provides no extension mechanism beyond 2 business days

### Definitio"
Vermont,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"  - 1 V.S.A. § 316: Public access rights and timelines
  - 1 V.S.A. § 317: Fee provisions
  - 1 V.S.A. § 318: Exemptions from disclosure

### **VERIFIED 2025 TIMELINE**
- **2-Business-Day Response**: Confirmed as shortest mandatory timeline in United States
- **Court Reinforcement**: 2025 First Amendment access rulings support timely disclosure
- **No Extensions**: Statute provides no extension mechanism beyond 2 business days

### Definitions
- **Public Agency**: All state and local government "
Vermont,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Reasonable time (vague)
Virginia,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"---

## Fee Structure (VERIFIED 2025)

### Permitted Charges
- **Search Costs**: Actual cost of staff time for searching
- **Review Costs**: Actual cost of legal/administrative review
- **Duplication Costs**: Actual copying and materials costs
- **Electronic Media**: Cost of CDs, USB drives, etc.

### Fee Limitations
- **Itemized Billing**: Required for all charges"
Virginia,Programming Time Charges,MEDIUM,Allows charging for technical work with subjective billing,Can inflate costs by claiming simple requests require programming
Virginia,Vague Request Rejection,HIGH,Agencies can reject requests as too broad or vague,Subjective interpretation allows denial of valid requests
Virginia,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"**Agency Must Either**:
- Provide requested records
- Deny request with specific exemption citations
- Notify of need for additional time with explanation

---

## Fee Structure (VERIFIED 2025)

### Permitted Charges
- **Search Costs**: Actual cost of staff time for searching
- **Review Costs**: Actual cost of legal/administrative review"
Washington,Clarification Pause,HIGH,Statute allows agencies to pause deadlines by claiming requests are unclear,"- Estimate timeline for remaining records
- Identify any exempt materials
- Request clarification if needed

### Phase 3: Production and Communication
**Ongoing Production:**
- Provide records as they become available
- Regular status updates for long-term requests
- Electronic format preference honored
- Clear explanation of any redactions

**Communication Standards:**"
Washington,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"**VERIFICATION DATE**: September 18, 2025  
**VERIFICATION SOURCE**: Dual-source validation using RCW 42.56 and court decisions  
**LAST STATUTORY UPDATE**: 2023 (SB 5432 - electronic records and fee limitations)

---

## Legal Framework

### Primary Statute
- **Public Records Act (PRA)**: RCW 42.56 et seq.
- **Original Enactment**: 1972 (Initiative 276)
- **Major Revision**: 2005 (comprehensive recodification)"
Washington,Programming Time Charges,MEDIUM,Allows charging for technical work with subjective billing,Can inflate costs by claiming simple requests require programming
Washington,Vague Request Rejection,HIGH,Agencies can reject requests as too broad or vague,Subjective interpretation allows denial of valid requests
Washington,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"- Provide copies of accessible records
- Provide reasonable estimate for remaining records
- Deny request with specific exemption citations

### Expedited Processing
- **No Statutory Provision**: Agencies may establish expedited procedures
- **Urgent Matters**: Some agencies accommodate emergency requests
- **Media Deadlines**: Limited informal accommodation available

---

## Fee Structure"
Washington,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Reasonable time (vague)
West,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"  - W. Va. Code § 29B-1-1: Definitions and legislative intent
  - W. Va. Code § 29B-1-3: Public access rights and timelines
  - W. Va. Code § 29B-1-6: Fee provisions
  - W. Va. Code § 29B-1-4: Exemptions from disclosure

### Definitions
- **Public Body**: All state and local government agencies, including boards, commissions, and authorities
- **Public Record**: Any writing containing information prepared or owned by a public body
- **Business Days**: Monday through Friday, excluding state holid"
West,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"  - W. Va. Code § 29B-1-3: Public access rights and timelines
  - W. Va. Code § 29B-1-6: Fee provisions
  - W. Va. Code § 29B-1-4: Exemptions from disclosure

### Definitions
- **Public Body**: All state and local government agencies, including boards, commissions, and authorities
- **Public Record**: Any writing containing information prepared or owned by a public body
- **Business Days**: Monday through Friday, excluding state holidays
- **Custodian**: Official designated to maintain and provi"
West,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Reasonable time (vague)
Wisconsin,Clarification Pause,HIGH,Statute allows agencies to pause deadlines by claiming requests are unclear,"- Accept request during regular business hours
- No specific form required
- May ask for clarification if description unclear
- Begin processing as soon as practicable

### Phase 2: Processing
**Agency Actions:**
- Locate responsive records across relevant departments
- Review for applicable exemptions under Wis. Stat. § 19.36
- Redact exempt information while preserving maximum disclosure
- Calculate reproduction fees if copies requested
"
Wisconsin,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"  - Wis. Stat. § 19.35: Access procedures and deadlines
  - Wis. Stat. § 19.36: Exemptions and limitations
  - Wis. Stat. § 19.37: Enforcement and attorney fees

### 2025 Legislative Updates
- **Wisconsin Act 16**: Updates effective August 13, 2025
- **Electronic Records**: Enhanced provisions for digital content including emails, chats, website content
- **Privacy Protections**: Updated exemptions balancing transparency with privacy
- **Compliance Guidance**: Wisconsin Department of Justice upd"
Wisconsin,Programming Time Charges,MEDIUM,Allows charging for technical work with subjective billing,Can inflate costs by claiming simple requests require programming
Wisconsin,Vague Request Rejection,HIGH,Agencies can reject requests as too broad or vague,Subjective interpretation allows denial of valid requests
Wisconsin,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"  - Wis. Stat. § 19.32: Definitions and policy declaration
  - Wis. Stat. § 19.35: Access procedures and deadlines
  - Wis. Stat. § 19.36: Exemptions and limitations
  - Wis. Stat. § 19.37: Enforcement and attorney fees

### 2025 Legislative Updates
- **Wisconsin Act 16**: Updates effective August 13, 2025
- **Electronic Records**: Enhanced provisions for digital content including emails, chats, website content
- **Privacy Protections**: Updated exemptions balancing transparency with privacy
- *"
Wisconsin,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Reasonable time (vague)
Wyoming,Clarification Pause,HIGH,Statute allows agencies to pause deadlines by claiming requests are unclear,"### **2025 Legislative Activity**
- **Ongoing Review**: Legislative review of public records laws in progress
- **Potential Updates**: Possible clarifications or amendments under consideration
- **Transparency Focus**: Enhanced attention to public access requirements
- **Federal Coordination**: Coordination with federal transparency requirements

### Definitions
- **Custodian**: Official designated to maintain and provide access to records
- **Public Record**: Any written or recorded information"
Wyoming,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"  - Wyo. Stat. § 16-4-202: Public access rights and procedures
  - Wyo. Stat. § 16-4-203: Response requirements
  - Wyo. Stat. § 16-4-204: Fee provisions
  - Wyo. Stat. § 16-4-205: Exemptions from disclosure

### **2025 Legislative Activity**
- **Ongoing Review**: Legislative review of public records laws in progress
- **Potential Updates**: Possible clarifications or amendments under consideration
- **Transparency Focus**: Enhanced attention to public access requirements
- **Federal Coordinatio"
Wyoming,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"  - Wyo. Stat. § 16-4-203: Response requirements
  - Wyo. Stat. § 16-4-204: Fee provisions
  - Wyo. Stat. § 16-4-205: Exemptions from disclosure

### **2025 Legislative Activity**
- **Ongoing Review**: Legislative review of public records laws in progress
- **Potential Updates**: Possible clarifications or amendments under consideration
- **Transparency Focus**: Enhanced attention to public access requirements
- **Federal Coordination**: Coordination with federal transparency requirements

### D"
Wyoming,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Promptly (vague)
